search URL:,https://patents.google.com/?assignee=Tesla%252c+Inc.&before=priority:20200101&after=priority:20120101&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2018037121-A1,Energy generation and storage system with electric vehicle charging capability ,Solarcity Corporation,Sandeep Narla,2016-08-03,2016-10-07,2018-02-08,,https://patents.google.com/patent/US20180037121A1/en,https://patentimages.storage.googleapis.com/a6/a6/66/086acdb28f7094/US20180037121A1-20180208-D00000.png
US-8898971-B2,"Photovoltaic array mounting apparatus, systems, and methods ","Zep Solar, Llc","John Raymond West, Brian Atchley, Tyrus Hawkes Hudson, Emil Johansen",2012-12-20,2013-12-20,2014-12-02,2014-12-02,https://patents.google.com/patent/US8898971B2/en,https://patentimages.storage.googleapis.com/86/90/ea/c46251b6da1648/US08898971-20141202-D00000.png
US-2017179331-A1,Systems and methods for cascading photovoltaic structures ,Solarcity Corporation,"Pablo Gonzalez, Bobby Yang",2014-12-05,2017-03-06,2017-06-22,,https://patents.google.com/patent/US20170179331A1/en,https://patentimages.storage.googleapis.com/bb/33/3b/d8edb65cf619f1/US20170179331A1-20170622-D00000.png
US-9853594-B2,Photovoltaic mounting system with chemical flashing ,Solarcity Corporation,Charles Almy,2015-02-25,2016-02-23,2017-12-26,2017-12-26,https://patents.google.com/patent/US9853594B2/en,https://patentimages.storage.googleapis.com/1d/89/12/97e3b6a2abd43c/US09853594-20171226-D00000.png
US-2016276838-A1,Inverter system enabling self-configuration ,Solarcity Corporation,Asim Mumtaz,2013-01-04,2016-05-27,2016-09-22,,https://patents.google.com/patent/US20160276838A1/en,https://patentimages.storage.googleapis.com/67/74/d7/614e01c3d1bb0c/US20160276838A1-20160922-D00000.png
US-10530161-B2,Power balancing in a multi-phase system ,"Tesla, Inc.","Lesley Chisenga, Aaron Jungreis, Paul Garrity",2013-01-04,2015-12-30,2020-01-07,2020-01-07,https://patents.google.com/patent/US10530161B2/en,https://patentimages.storage.googleapis.com/0d/30/05/1f7b4987c8e8c1/US10530161-20200107-D00000.png
US-2016261230-A1,"Torque tube mounted photovoltaic apparatus, system, and method ",Solarcity Corporation,"Jack Raymond West, Tyrus Hawkes Hudson, David Molina, Brian Atchley",2013-02-26,2016-05-12,2016-09-08,,https://patents.google.com/patent/US20160261230A1/en,https://patentimages.storage.googleapis.com/71/4b/fd/3ec8efb977ff71/US20160261230A1-20160908-D00000.png
US-2016163888-A1,Photovoltaic cells with electrodes adapted to house conductive paste ,Solarcity Corporation,Anand J. Reddy,2014-12-05,2015-09-17,2016-06-09,,https://patents.google.com/patent/US20160163888A1/en,https://patentimages.storage.googleapis.com/7d/e5/e1/3d142231ded376/US20160163888A1-20160609-D00000.png
US-9991412-B2,Systems for precision application of conductive adhesive paste on photovoltaic structures ,Solarcity Corporation,"Pablo Gonzalez, Bobby Yang",2014-12-05,2015-09-25,2018-06-05,2018-06-05,https://patents.google.com/patent/US9991412B2/en,https://patentimages.storage.googleapis.com/54/94/b1/f1370f66d69deb/US09991412-20180605-D00000.png
US-10056522-B2,System and apparatus for precision automation of tab attachment for fabrications of solar panels ,Solarcity Corporation,Pablo Gonzalez,2014-12-05,2015-11-02,2018-08-21,2018-08-21,https://patents.google.com/patent/US10056522B2/en,https://patentimages.storage.googleapis.com/a4/8b/ed/c296f9ead9c7b9/US10056522-20180821-D00000.png
EP-3170209-B1,Solar cell with interdigitated back contact ,"Tesla, Inc.","Jiunn Benjamin Heng, Zhigang Xie, Zheng Xu",2014-07-17,2015-07-17,2018-12-12,2018-12-12,https://patents.google.com/patent/EP3170209B1/en,https://patentimages.storage.googleapis.com/a4/ef/c1/6dd288a2945460/imgf0001.png
US-9722532-B2,Photovoltaic module mounting system ,Solarcity Corporation,"Charles Almy, David Molina",2015-08-11,2015-08-11,2017-08-01,2017-08-01,https://patents.google.com/patent/US9722532B2/en,https://patentimages.storage.googleapis.com/b6/20/f1/b2521b422f2441/US09722532-20170801-D00000.png
US-9136411-B2,Solar panel clamp system ,Solarcity Corporation,Mike Jolley,2012-07-18,2014-09-30,2015-09-15,2015-09-15,https://patents.google.com/patent/US9136411B2/en,https://patentimages.storage.googleapis.com/a1/ee/a4/e5b7e5d6149bd2/US09136411-20150915-D00000.png
US-2018167024-A1,Building integrated photovoltaic system for tile roofs ,Solarcity Corporation,"Daniel Preston Flanigan, Jack Raymond West",2016-10-26,2018-01-26,2018-06-14,,https://patents.google.com/patent/US20180167024A1/en,https://patentimages.storage.googleapis.com/3f/56/25/c6240ba90dfb89/US20180167024A1-20180614-D00000.png
US-10043937-B2,Systems and method for precision automated placement of backsheet on PV modules ,Solarcity Corporation,"Pablo Gonzalez, Bobby Yang",2014-12-05,2015-10-07,2018-08-07,2018-08-07,https://patents.google.com/patent/US10043937B2/en,https://patentimages.storage.googleapis.com/ff/11/a8/2d18772909a1ca/US10043937-20180807-D00000.png
US-10181536-B2,System and method for manufacturing photovoltaic structures with a metal seed layer ,"Tesla, Inc.",Wei Wang,2015-10-22,2017-08-08,2019-01-15,2019-01-15,https://patents.google.com/patent/US10181536B2/en,https://patentimages.storage.googleapis.com/27/d7/ba/cf803ef5cb624a/US10181536-20190115-D00000.png
KR-20190016549-A,Electric motor rotor discharge protection ,"테슬라, 인크.","스콧 미카엘 그라브, 디에고 알베르토 실바 로드리게즈, 알렉산더 하인, 타일러 닐스 그랜달",2016-06-07,2017-06-07,2019-02-18,,https://patents.google.com/patent/KR20190016549A/en,https://patentimages.storage.googleapis.com/9e/ad/87/3ef1a776619c70/pct00001.png
US-10671349-B2,Accelerated mathematical engine ,"Tesla, Inc.","Peter Joseph Bannon, Kevin Altair Hurd, Emil TALPES",2017-07-24,2017-09-20,2020-06-02,2020-06-02,https://patents.google.com/patent/US10671349B2/en,https://patentimages.storage.googleapis.com/cd/92/b1/036807cdfa7852/US10671349-20200602-D00000.png
